s,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2
Time,"T-1","O2-1","CO-1","CO2-1","HCN-1","Q-1","HRR-1","T-2","O2-2","CO-2","CO2-2","HCN-2","Q-2","HRR-2","T-3","O2-3","CO-3","CO2-3","HCN-3","Q-3","HRR-3","T-4","O2-4","CO-4","CO2-4","HCN-4","Q-4","HRR-4","Q-2C-A1","Q-2G-A1","Q-2N-A1","Q-2I-A1","Q-2R-A1","Q-2C-B1","Q-2G-B1","Q-2N-B1","Q-2I-B1","Q-2R-B1","Q-2C-A2","Q-2G-A2","Q-2N-A2","Q-2I-A2","Q-2R-A2","Q-2C-B2","Q-2G-B2","Q-2N-B2","Q-2I-B2","Q-2R-B2","Q-2C-A3","Q-2G-A3","Q-2N-A3","Q-2I-A3","Q-2R-A3","Q-2C-B3","Q-2G-B3","Q-2N-B3","Q-2I-B3","Q-2R-B3","Q-2C-A4","Q-2G-A4","Q-2N-A4","Q-2I-A4","Q-2R-A4","Q-2C-B4","Q-2G-B4","Q-2N-B4","Q-2I-B4","Q-2R-B4","T-C","O2-C","CO-C","CO2-C","HCN-C","Q-2R-C","T-D","O2-D","CO-D","CO2-D","HCN-D","Q-2R-D","T-E","O2-E","CO-E","CO2-E","HCN-E","Q-2R-E","T-F","O2-F","CO-F","CO2-F","HCN-F","Q-2R-F"
 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.6652157E-005, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.6659684E-005, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.5131810E-004, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.5427064E-005, 0.0000000E+000, 0.0000000E+000,-3.8539026E-005,-3.4685082E-005, 4.1872728E-001,-3.4685082E-005, 0.0000000E+000,-2.7371166E-005,-2.4634007E-005, 4.1873844E-001,-2.4634007E-005, 0.0000000E+000,-4.1275691E-005,-3.7148080E-005, 4.1872454E-001,-3.7148080E-005, 0.0000000E+000,-2.8601987E-005,-2.5741746E-005, 4.1873721E-001,-2.5741746E-005, 0.0000000E+000,-5.2291854E-005,-4.7062626E-005, 4.1871352E-001,-4.7062626E-005, 0.0000000E+000,-4.3356231E-005,-3.9020566E-005, 4.1872246E-001,-3.9020566E-005, 0.0000000E+000,-2.0982386E-004,-1.8884144E-004, 4.1855599E-001,-1.8884144E-004, 0.0000000E+000,-2.0295884E-004,-1.8266291E-004, 4.1856286E-001,-1.8266291E-004, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000
 1.1000000E+000, 1.9999994E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.5775662E-006, 0.0000000E+000, 2.0000028E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.0883113E-006, 0.0000000E+000, 2.0000007E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.6774341E-006, 0.0000000E+000, 2.0000005E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.9268227E-006, 0.0000000E+000,-7.5589986E-009,-1.8850317E-006,-1.6972426E-006, 4.1876394E-001,-1.6896836E-006, 1.0576970E-008,-1.8230218E-006,-1.6396201E-006, 4.1876398E-001,-1.6501970E-006, 1.9026150E-008,-3.0996956E-006,-2.7877816E-006, 4.1876270E-001,-2.8068077E-006, 6.3230560E-010,-2.2167777E-006,-1.9949949E-006, 4.1876360E-001,-1.9956272E-006,-1.4226778E-008,-3.0857024E-006,-2.7785130E-006, 4.1876274E-001,-2.7642862E-006,-6.1053710E-009,-3.2886688E-006,-2.9603706E-006, 4.1876253E-001,-2.9542652E-006,-2.5357422E-009,-1.8051137E-005,-1.6246235E-005, 4.1874777E-001,-1.6243699E-005,-1.0464527E-008,-1.6353305E-005,-1.4718979E-005, 4.1874947E-001,-1.4708515E-005, 2.0000009E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.2147516E-006, 1.9999988E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.6162995E-006, 1.9999991E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.6180156E-006, 2.0000003E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.6023558E-006
 2.0000000E+000, 1.9999987E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-9.5760773E-007, 0.0000000E+000, 2.0000058E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.2428714E-007, 0.0000000E+000, 2.0000017E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.3053803E-006, 0.0000000E+000, 2.0000011E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.1707771E-006, 0.0000000E+000,-1.6719131E-008,-4.0096118E-007,-3.6249510E-007, 4.1876543E-001,-3.4577597E-007, 2.2389058E-008,-2.6021199E-007,-2.3191001E-007, 4.1876553E-001,-2.5429906E-007, 4.5568606E-008,-6.7674762E-007,-6.0447412E-007, 4.1876509E-001,-6.5004272E-007, 2.0386230E-009,-4.1741988E-007,-3.7543215E-007, 4.1876540E-001,-3.7747077E-007,-3.0394773E-008,-5.5789217E-007,-5.0510056E-007, 4.1876529E-001,-4.7470578E-007,-1.4160319E-008,-4.6956821E-007,-4.2398554E-007, 4.1876536E-001,-4.0982522E-007,-2.3356582E-009,-3.0168264E-006,-2.7153355E-006, 4.1876280E-001,-2.7129998E-006,-2.3066495E-008,-2.5183116E-006,-2.2687452E-006, 4.1876332E-001,-2.2456787E-006, 2.0000023E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.2188101E-007, 1.9999977E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.1762330E-006, 1.9999979E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.7987815E-007, 2.0000009E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.7629089E-007
 3.0000000E+000, 1.9999981E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.2198553E-007, 0.0000000E+000, 2.0000076E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.2856872E-007, 0.0000000E+000, 2.0000025E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-8.7971841E-007, 0.0000000E+000, 2.0000016E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.9668637E-007, 0.0000000E+000,-2.4463812E-008,-1.0935114E-007,-1.0082053E-007, 4.1876573E-001,-7.6356721E-008, 3.0908485E-008,-4.2514417E-008,-3.5130251E-008, 4.1876574E-001,-6.6038735E-008, 7.0742578E-008,-1.1083248E-007,-9.2633095E-008, 4.1876563E-001,-1.6337567E-007, 3.6119046E-009,-9.0851178E-008,-8.1362993E-008, 4.1876572E-001,-8.4974898E-008,-4.3025364E-008,-1.5051077E-007,-1.3972035E-007, 4.1876571E-001,-9.6694987E-008,-2.1735006E-008,-1.1775504E-007,-1.0811116E-007, 4.1876572E-001,-8.6376157E-008, 3.9917163E-010,-6.9475352E-007,-6.2519638E-007, 4.1876512E-001,-6.2559555E-007,-3.4093295E-008,-5.4794262E-007,-4.9651581E-007, 4.1876530E-001,-4.6242251E-007, 2.0000038E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-9.5206954E-008, 1.9999969E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.5602821E-007, 1.9999966E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.6695898E-007, 2.0000016E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.4534058E-007
 4.0000000E+000, 1.9999973E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.5320267E-008, 0.0000000E+000, 2.0000089E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.5177392E-008, 0.0000000E+000, 2.0000033E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.9421374E-007, 0.0000000E+000, 2.0000020E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.5992389E-008, 0.0000000E+000,-3.1888489E-008,-4.8971432E-008,-4.7221261E-008, 4.1876580E-001,-1.5332772E-008, 3.7506899E-008, 2.6445919E-008, 2.7593893E-008, 4.1876580E-001,-9.9130051E-009, 9.6473502E-008, 7.3717034E-008, 7.6034557E-008, 4.1876579E-001,-2.0438944E-008, 5.2876209E-009,-1.0851323E-008,-9.1955522E-009, 4.1876580E-001,-1.4483173E-008,-5.4146992E-008,-7.9408746E-008,-7.6840694E-008, 4.1876579E-001,-2.2693702E-008,-2.9689777E-008,-5.3802559E-008,-5.1349404E-008, 4.1876579E-001,-2.1659627E-008, 4.9611771E-009,-1.3378807E-007,-1.1987127E-007, 4.1876568E-001,-1.2483244E-007,-4.5022686E-008,-1.7773617E-007,-1.6442295E-007, 4.1876568E-001,-1.1940026E-007, 2.0000056E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.7691271E-008, 1.9999962E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.8364283E-008, 1.9999952E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.3350205E-008, 2.0000025E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.7074115E-008
 5.1000000E+000, 1.9999964E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.6720791E-008, 0.0000000E+000, 2.0000097E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.9022674E-009, 0.0000000E+000, 2.0000039E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.6053516E-008, 0.0000000E+000, 2.0000024E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.4915122E-008, 0.0000000E+000,-3.8940466E-008,-4.3656950E-008,-4.3143425E-008, 4.1876581E-001,-4.2029589E-009, 4.2140171E-008, 4.1465555E-008, 4.1574894E-008, 4.1876581E-001,-5.6527766E-010, 1.2221343E-007, 1.2262478E-007, 1.2262552E-007, 4.1876582E-001, 4.1209527E-010, 6.9577120E-009, 3.6594691E-009, 4.0311700E-009, 4.1876581E-001,-2.9265420E-009,-6.3824471E-008,-7.1947188E-008,-7.1093039E-008, 4.1876581E-001,-7.2685680E-009,-3.8024352E-008,-4.5184934E-008,-4.4426999E-008, 4.1876581E-001,-6.4026470E-009, 1.1155017E-008,-2.2757364E-008,-1.9324249E-008, 4.1876578E-001,-3.0479267E-008,-5.5801174E-008,-8.8993787E-008,-8.5632649E-008, 4.1876578E-001,-2.9831475E-008, 2.0000075E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.6637753E-009, 1.9999957E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.5758960E-008, 1.9999937E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-7.2180097E-009, 2.0000035E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-7.2173290E-009
 6.1000000E+000, 1.9999955E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-7.0669614E-009, 0.0000000E+000, 2.0000100E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.3629726E-009, 0.0000000E+000, 2.0000045E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.2291580E-008, 0.0000000E+000, 2.0000026E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.8506907E-009, 0.0000000E+000,-4.5309103E-008,-4.7560243E-008,-4.7293252E-008, 4.1876581E-001,-1.9841493E-009, 4.4846368E-008, 4.6365850E-008, 4.6255779E-008, 4.1876582E-001, 1.4094107E-009, 1.4669191E-007, 1.5358584E-007, 1.5293832E-007, 4.1876582E-001, 6.2464120E-009, 8.4643064E-009, 8.1681564E-009, 8.2396480E-009, 4.1876581E-001,-2.2465844E-010,-7.1858095E-008,-7.7065038E-008,-7.6502467E-008, 4.1876581E-001,-4.6443723E-009,-4.6375589E-008,-5.0695852E-008,-5.0221949E-008, 4.1876581E-001,-3.8463605E-009, 1.8357541E-008, 9.4493817E-009, 1.0382074E-008, 4.1876581E-001,-7.9754666E-009,-6.5886670E-008,-7.9283937E-008,-7.7902334E-008, 4.1876580E-001,-1.2015664E-008, 2.0000095E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 1.4311092E-010, 1.9999953E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.0657178E-009, 1.9999922E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.3469334E-009, 2.0000047E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.8879010E-009
 7.1000000E+000, 1.9999947E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.1352053E-009, 0.0000000E+000, 2.0000100E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.7907907E-009, 0.0000000E+000, 2.0000049E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.6456288E-009, 0.0000000E+000, 2.0000028E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.8212765E-009, 0.0000000E+000,-5.0775167E-008,-5.2581716E-008,-5.2359185E-008, 4.1876581E-001,-1.5840178E-009, 4.5930049E-008, 4.8119921E-008, 4.7942810E-008, 4.1876582E-001, 2.0127616E-009, 1.6840510E-007, 1.7784497E-007, 1.7694286E-007, 4.1876582E-001, 8.5377616E-009, 9.6512910E-009, 1.0151730E-008, 1.0143563E-008, 4.1876582E-001, 4.9227158E-010,-7.8217471E-008,-8.3197938E-008,-8.2658015E-008, 4.1876581E-001,-4.4405442E-009,-5.4311736E-008,-5.8577200E-008,-5.8108777E-008, 4.1876581E-001,-3.7970407E-009, 2.5855256E-008, 2.2255971E-008, 2.2657776E-008, 4.1876581E-001,-3.1974797E-009,-7.4862597E-008,-8.6156497E-008,-8.4985230E-008, 4.1876580E-001,-1.0122633E-008, 2.0000114E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 1.1972939E-009, 1.9999949E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.6645285E-009, 1.9999907E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.5581336E-009, 2.0000060E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.9256557E-009
 8.1000000E+000, 1.9999938E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.8154279E-009, 0.0000000E+000, 2.0000098E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.6876971E-009, 0.0000000E+000, 2.0000053E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.9504801E-009, 0.0000000E+000, 2.0000030E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.5697583E-009, 0.0000000E+000,-5.5707528E-008,-5.7317299E-008,-5.7114446E-008, 4.1876581E-001,-1.4069173E-009, 4.5875365E-008, 4.8305033E-008, 4.8103943E-008, 4.1876582E-001, 2.2285774E-009, 1.8822188E-007, 1.9925235E-007, 1.9819118E-007, 4.1876583E-001, 9.9693012E-009, 1.0524891E-008, 1.1221303E-008, 1.1193538E-008, 4.1876582E-001, 6.6864742E-010,-8.3541806E-008,-8.8676973E-008,-8.8121579E-008, 4.1876581E-001,-4.5797734E-009,-6.2185172E-008,-6.6731871E-008,-6.6235325E-008, 4.1876581E-001,-4.0501530E-009, 3.3732282E-008, 3.1875879E-008, 3.2103396E-008, 4.1876581E-001,-1.6288858E-009,-8.3242093E-008,-9.4544488E-008,-9.3372372E-008, 4.1876580E-001,-1.0130279E-008, 2.0000132E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 1.6543100E-009, 1.9999947E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.6789944E-009, 1.9999891E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.6412608E-009, 2.0000074E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.6186553E-009
